channel_name,real_name,category,URL,channel_id,Twitter Handle,Platform,quality_of_scrape,flair,kind_of_channel
sunny decree,,crypto,https://www.youtube.com/channel/UCjXdoICJ4KXHuDIEFYfBgHw,UCjXdoICJ4KXHuDIEFYfBgHw,@sunnydecree,YouTube,dead scrape,,
Kevin Svenson Crypto,,crypto,https://www.youtube.com/channel/UCVTbGN6Hzi4sSAz1bKHiDiQ,UCVTbGN6Hzi4sSAz1bKHiDiQ,@KevinSvenson_,YouTube,dead scrape,,
Token Metrics,,crypto,https://www.youtube.com/channel/UCH9MOLQ_KUpZ_cw8uLGUisA,UCH9MOLQ_KUpZ_cw8uLGUisA,@tokenmetricsinc,YouTube,dead scrape,,
Chris Dunn,,crypto,https://www.youtube.com/channel/UCdC3h2m88FC02Yw-A_VESRQ,UCdC3h2m88FC02Yw-A_VESRQ,@ChrisDunnTV,YouTube,dead scrape,,
TVC News,,crypto,https://www.youtube.com/channel/UC5zqLNazArotJH7Y08DEigQ,UC5zqLNazArotJH7Y08DEigQ,@tvcnewsng,YouTube,dead scrape,,
Ian Balina,Ian Balina,crypto,https://www.youtube.com/channel/UCT5IB8qqnIolnkuUj8a1kEQ,UCT5IB8qqnIolnkuUj8a1kEQ,@DiaryofaMadeMan,YouTube,dead scrape,,
Alux.com,,crypto,https://www.youtube.com/channel/UCNjPtOCvMrKY5eLwr_-7eUg,UCNjPtOCvMrKY5eLwr_-7eUg,@aluxcom,YouTube,dead scrape,,
Coin Post,,crypto,https://www.youtube.com/channel/UCZ9AOLb99ZTh55HXCKsvXMA,UCZ9AOLb99ZTh55HXCKsvXMA,  @CoinDesk,YouTube,dead scrape,,
Jose Nunes,Jose Nunes,crypto,https://www.youtube.com/channel/UCFwx0XHg_VwK6TF9AbGvGbA,channel/UCFwx0XHg_VwK6TF9AbGvGbA,@ct1boh,YouTube,dead scrape,,
Beau Stoner,,crypto,https://www.youtube.com/channel/UCVQJXvrcil-95HcnSiUjNmg,UCVQJXvrcil-95HcnSiUjNmg,@BeauStoner,YouTube,dead scrape,,
Cryptobud,,crypto,https://www.youtube.com/channel/UCAEktd4wejD_N4aPyDPD3zw,UCAEktd4wejD_N4aPyDPD3zw,@cbudtech,YouTube,dead scrape,,
Kaizen Crypto,,crypto,https://www.youtube.com/channel/UCyf3zGnYK9jcF_mlRc_ztEA,UCyf3zGnYK9jcF_mlRc_ztEA,@KaizenCrypto,YouTube,dead scrape,,
